<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2007.01.29	1.17930	1.18450	1.17880	1.18290	2433	0	30
2007.01.30	1.18300	1.18400	1.17880	1.17890	3237	0	30
2007.01.31	1.17880	1.18420	1.17480	1.17660	4074	0	30
2007.02.01	1.17650	1.18010	1.17350	1.17820	3879	0	30
2007.02.02	1.17830	1.18690	1.17760	1.18420	4126	0	30
2007.02.05	1.18410	1.18630	1.18050	1.18240	2863	0	30
2007.02.06	1.18230	1.18420	1.18070	1.18160	2550	0	30
2007.02.07	1.18170	1.18550	1.18130	1.18420	2497	0	30
2007.02.08	1.18410	1.18740	1.18170	1.18250	2664	0	30
2007.02.09	1.18240	1.18470	1.17130	1.17210	3411	0	30
2007.02.12	1.17330	1.17610	1.17060	1.17520	3130	0	30
2007.02.13	1.17550	1.17670	1.16580	1.16640	3705	0	30
2007.02.14	1.16630	1.16870	1.16420	1.16580	3407	0	30
2007.02.15	1.16590	1.16700	1.16190	1.16250	3923	0	30
2007.02.16	1.16210	1.16530	1.16180	1.16320	2743	0	30
2007.02.19	1.16380	1.16590	1.16300	1.16400	1568	0	30
2007.02.20	1.16410	1.17140	1.16330	1.16980	3057	0	30
2007.02.21	1.16990	1.17110	1.15930	1.15970	3591	0	30
2007.02.22	1.15960	1.16310	1.15910	1.16180	2950	0	30
2007.02.23	1.16190	1.16270	1.15630	1.15940	2258	0	30
2007.02.26	1.15900	1.16070	1.15730	1.16040	2301	0	30
2007.02.27	1.16030	1.16720	1.15870	1.16690	3974	0	30
2007.02.28	1.16680	1.17360	1.16550	1.16950	4924	0	30
2007.03.01	1.16920	1.17470	1.16700	1.17210	3881	0	30
2007.03.02	1.17250	1.17730	1.17050	1.17700	3276	0	30
2007.03.05	1.17710	1.18240	1.17540	1.18080	3676	0	30
2007.03.06	1.18060	1.18140	1.17280	1.17650	4430	0	30
2007.03.07	1.17660	1.17950	1.17430	1.17850	3633	0	30
2007.03.08	1.17840	1.18140	1.17630	1.17990	2882	0	30
2007.03.09	1.18000	1.18080	1.17020	1.17230	3788	0	30
2007.03.12	1.17190	1.17330	1.16810	1.17170	3166	0	30
2007.03.13	1.17180	1.17520	1.16790	1.17450	3200	0	30
2007.03.14	1.17470	1.17760	1.17200	1.17640	3682	0	30
2007.03.15	1.17610	1.17790	1.17300	1.17650	2905	0	30
2007.03.16	1.17640	1.17690	1.17110	1.17550	3448	0	30
2007.03.19	1.17640	1.17810	1.17400	1.17670	2800	0	30
2007.03.20	1.17660	1.17870	1.16000	1.16120	4744	0	30
2007.03.21	1.16140	1.16310	1.15340	1.15560	4278	0	30
2007.03.22	1.15550	1.15910	1.15520	1.15780	3307	0	30
2007.03.23	1.15800	1.16100	1.15560	1.16040	2735	0	30
2007.03.26	1.16070	1.16340	1.15910	1.16130	2710	0	30
2007.03.27	1.16110	1.16160	1.15520	1.15700	3496	0	30
2007.03.28	1.15690	1.16060	1.15550	1.15900	3816	0	30
2007.03.29	1.15890	1.16130	1.15670	1.15880	2745	0	30
2007.03.30	1.15890	1.15910	1.14980	1.15400	4423	0	30
2007.03.31	1.15380	1.15380	1.15380	1.15380	1	0	30
2007.04.02	1.15200	1.15690	1.15110	1.15610	3141	0	30
2007.04.03	1.15620	1.15980	1.15480	1.15850	2745	0	30
2007.04.04	1.15840	1.15930	1.15430	1.15920	2872	0	30
2007.04.05	1.15910	1.15930	1.14850	1.15090	3177	0	30
2007.04.06	1.15100	1.15310	1.14960	1.15110	1241	0	30
2007.04.09	1.15030	1.15300	1.15020	1.15280	1651	0	30
2007.04.10	1.15270	1.15280	1.14560	1.14690	3524	0	30
2007.04.11	1.14730	1.14780	1.13920	1.13930	3239	0	30
2007.04.12	1.13910	1.14100	1.13360	1.13460	3612	0	30
2007.04.13	1.13440	1.13940	1.13290	1.13760	3329	0	30
2007.04.16	1.13640	1.13670	1.13000	1.13140	2876	0	30
2007.04.17	1.13150	1.13420	1.12870	1.13070	3349	0	30
2007.04.18	1.13060	1.13390	1.12630	1.12750	3035	0	30
2007.04.19	1.12780	1.13070	1.12350	1.12950	3837	0	30
2007.04.20	1.12940	1.13000	1.12110	1.12360	3486	0	30
2007.04.23	1.12230	1.12430	1.12140	1.12190	2832	0	30
2007.04.24	1.12200	1.12460	1.11910	1.12150	3787	0	30
2007.04.25	1.12140	1.12270	1.11330	1.11480	3509	0	30
2007.04.26	1.11470	1.12220	1.11420	1.12150	3671	0	30
2007.04.27	1.12140	1.12270	1.11280	1.11620	4102	0	30
2007.04.30	1.11530	1.11950	1.10460	1.10950	3896	0	30
2007.05.01	1.10960	1.11150	1.10470	1.11070	3940	0	30
2007.05.02	1.11080	1.11420	1.10630	1.10900	3337	0	30
2007.05.03	1.10910	1.10950	1.10530	1.10750	3308	0	30
2007.05.04	1.10760	1.10830	1.10310	1.10760	3631	0	30
2007.05.07	1.10700	1.10730	1.10050	1.10190	2420	0	30
2007.05.08	1.10180	1.10590	1.10040	1.10470	3173	0	30
2007.05.09	1.10480	1.10920	1.10420	1.10490	3415	0	30
2007.05.10	1.10460	1.11260	1.10450	1.11090	3597	0	30
2007.05.11	1.11110	1.11670	1.10900	1.11050	4172	0	30
2007.05.12	1.11030	1.11040	1.11030	1.11040	2	0	30
2007.05.14	1.11080	1.11250	1.10540	1.10570	2768	0	30
2007.05.15	1.10580	1.10710	1.09630	1.09840	3909	0	30
2007.05.16	1.09870	1.10620	1.09670	1.10440	3582	0	30
2007.05.17	1.10430	1.10530	1.09660	1.09980	3619	0	30
2007.05.18	1.09970	1.09990	1.08750	1.08840	4527	0	30
2007.05.21	1.08870	1.08960	1.08220	1.08450	3360	0	30
2007.05.22	1.08460	1.08770	1.08280	1.08630	4096	0	30
2007.05.23	1.08620	1.08870	1.08120	1.08210	3320	0	30
2007.05.24	1.08220	1.08520	1.08020	1.08360	3632	0	30
2007.05.25	1.08350	1.08690	1.07750	1.08020	3494	0	30
2007.05.28	1.07960	1.08120	1.07880	1.07980	1033	0	30
2007.05.29	1.08000	1.08340	1.07090	1.07350	4238	0	30
2007.05.30	1.07370	1.07570	1.06860	1.07400	3924	0	30
2007.05.31	1.07410	1.07450	1.06640	1.06860	4052	0	30
2007.06.01	1.06880	1.07090	1.05980	1.06060	3665	0	30
2007.06.04	1.06110	1.06190	1.05470	1.05850	3273	0	30
2007.06.05	1.05830	1.06370	1.05620	1.06320	3542	0	30
2007.06.06	1.06310	1.06370	1.05610	1.05830	3833	0	30
2007.06.07	1.05840	1.06550	1.05610	1.06460	3902	0	30
2007.06.08	1.06480	1.07120	1.05930	1.06060	4608	0	30
2007.06.11	1.06090	1.06330	1.05950	1.05970	2722	0	30
2007.06.12	1.05980	1.06760	1.05880	1.06760	3663	0	30
2007.06.13	1.06770	1.07380	1.06450	1.06570	4633	0	30
2007.06.14	1.06540	1.06880	1.06450	1.06820	3808	0	30
2007.06.15	1.06800	1.06900	1.06020	1.06770	4734	0	30
2007.06.18	1.06790	1.07510	1.06500	1.07100	3995	0	30
2007.06.19	1.07110	1.07210	1.06140	1.06210	3915	0	30
2007.06.20	1.06240	1.06860	1.06170	1.06610	3429	0	30
2007.06.21	1.06630	1.07570	1.06430	1.07450	4042	0	30
2007.06.22	1.07470	1.07490	1.06640	1.06820	4104	0	30
2007.06.25	1.06860	1.07300	1.06780	1.07000	2959	0	30
2007.06.26	1.07010	1.07240	1.06700	1.06930	3591	0	30
2007.06.27	1.06940	1.07330	1.06860	1.07030	4020	0	30
2007.06.28	1.07050	1.07150	1.05750	1.05930	4746	0	30
2007.06.29	1.05920	1.06580	1.04680	1.06520	6543	0	30
2007.07.02	1.06250	1.06360	1.05260	1.05570	3396	0	30
2007.07.03	1.05560	1.06340	1.05400	1.06110	3680	0	30
2007.07.04	1.06140	1.06150	1.05570	1.05750	2665	0	30
2007.07.05	1.05740	1.05910	1.05540	1.05600	3173	0	30
2007.07.06	1.05610	1.05680	1.04600	1.04930	4245	0	30
2007.07.09	1.04850	1.05020	1.04440	1.04980	2987	0	30
2007.07.10	1.04950	1.05450	1.04760	1.05400	5121	0	30
2007.07.11	1.05380	1.06100	1.05240	1.05410	4323	0	30
2007.07.12	1.05420	1.05550	1.04480	1.04560	4057	0	30
2007.07.13	1.04570	1.04970	1.04460	1.04750	3273	0	30
2007.07.16	1.04780	1.04830	1.04150	1.04350	2844	0	30
2007.07.17	1.04370	1.04520	1.04190	1.04360	3167	0	30
2007.07.18	1.04380	1.04770	1.03990	1.04360	4461	0	30
2007.07.19	1.04390	1.04650	1.04110	1.04290	2653	0	30
2007.07.20	1.04320	1.04960	1.04120	1.04840	3266	0	30
2007.07.23	1.04860	1.04860	1.04240	1.04660	3489	0	30
2007.07.24	1.04670	1.04730	1.03390	1.03560	4371	0	30
2007.07.25	1.03570	1.04480	1.03390	1.04160	4211	0	30
2007.07.26	1.04170	1.05530	1.04030	1.05340	5371	0	30
2007.07.27	1.05350	1.06460	1.05230	1.06400	7159	0	30
2007.07.30	1.06440	1.06980	1.06380	1.06690	4623	0	30
2007.07.31	1.06710	1.06860	1.05830	1.06670	5984	0	30
2007.08.01	1.06650	1.06980	1.05510	1.05600	5606	0	30
2007.08.02	1.05610	1.05970	1.05070	1.05210	5173	0	30
2007.08.03	1.05200	1.05750	1.05000	1.05680	4558	0	30
2007.08.06	1.05650	1.05880	1.05030	1.05250	4393	0	30
2007.08.07	1.05240	1.05730	1.04880	1.05490	4181	0	30
2007.08.08	1.05510	1.05650	1.04610	1.04860	3941	0	30
2007.08.09	1.04850	1.06420	1.04690	1.05780	6405	0	30
2007.08.10	1.05790	1.06170	1.05140	1.05300	5960	0	30
2007.08.13	1.05380	1.05620	1.04840	1.05380	3904	0	30
2007.08.14	1.05390	1.06840	1.05330	1.06710	6255	0	30
2007.08.15	1.06720	1.07950	1.06700	1.07850	7566	0	30
2007.08.16	1.07840	1.08660	1.06730	1.07600	10883	0	30
2007.08.17	1.07590	1.07930	1.05510	1.05970	8386	0	30
2007.08.20	1.06110	1.06250	1.05300	1.05540	5676	0	30
2007.08.21	1.05500	1.06490	1.05410	1.06230	6086	0	30
2007.08.22	1.06190	1.06900	1.05720	1.06190	4612	0	30
2007.08.23	1.06200	1.06330	1.04740	1.05300	6112	0	30
2007.08.24	1.05310	1.05660	1.04910	1.05190	4658	0	30
2007.08.27	1.05210	1.05490	1.04690	1.05430	3011	0	30
2007.08.28	1.05440	1.06500	1.05330	1.06400	5084	0	30
2007.08.29	1.06390	1.06760	1.05770	1.06000	5748	0	30
2007.08.30	1.05990	1.06600	1.05430	1.05840	5583	0	30
2007.08.31	1.05830	1.05920	1.05060	1.05550	5770	0	30
2007.09.03	1.05550	1.05600	1.05160	1.05280	2710	0	30
2007.09.04	1.05260	1.05680	1.04800	1.04920	4432	0	30
2007.09.05	1.04910	1.05640	1.04830	1.05370	4555	0	30
2007.09.06	1.05360	1.05800	1.05050	1.05210	4590	0	30
2007.09.07	1.05190	1.05750	1.04710	1.05490	4455	0	30
2007.09.10	1.05430	1.05890	1.05150	1.05190	4650	0	30
2007.09.11	1.05200	1.05300	1.04090	1.04230	8032	0	30
2007.09.12	1.04210	1.04420	1.03540	1.03660	6431	0	30
2007.09.13	1.03640	1.03780	1.03120	1.03620	5660	0	30
2007.09.14	1.03610	1.03630	1.02770	1.02980	4832	0	30
2007.09.17	1.03030	1.03110	1.02380	1.02740	4024	0	30
2007.09.18	1.02750	1.02880	1.01240	1.01260	5745	0	30
2007.09.19	1.01290	1.01750	1.00800	1.01500	7119	0	30
