<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2006.06.08	1.85460	1.85800	1.83700	1.84230	11600	0	30
2006.06.09	1.84240	1.84870	1.83640	1.84060	10873	0	30
2006.06.10	1.84050	1.84160	1.84010	1.84060	128	0	30
2006.06.12	1.83950	1.84720	1.83780	1.84240	9616	0	30
2006.06.13	1.84210	1.84600	1.83160	1.83270	10593	0	30
2006.06.14	1.83280	1.85020	1.83260	1.84270	10911	0	30
2006.06.15	1.84280	1.85490	1.84190	1.84960	10982	0	30
2006.06.16	1.84950	1.85630	1.84690	1.85020	9885	0	30
2006.06.17	1.85020	1.85240	1.84980	1.85050	86	0	30
2006.06.19	1.85170	1.85330	1.83690	1.84140	9770	0	30
2006.06.20	1.84140	1.84630	1.83680	1.84210	9891	0	30
2006.06.21	1.84200	1.84750	1.84090	1.84480	9775	0	30
2006.06.22	1.84480	1.84740	1.82620	1.82800	10319	0	30
2006.06.23	1.82800	1.83150	1.81260	1.81770	10577	0	30
2006.06.24	1.81760	1.81920	1.81700	1.81870	141	0	30
2006.06.26	1.81880	1.82480	1.81610	1.82360	10034	0	30
2006.06.27	1.82380	1.82660	1.81850	1.82130	10496	0	30
2006.06.28	1.82150	1.82430	1.81410	1.81870	10050	0	30
2006.06.29	1.81870	1.83000	1.80890	1.82780	10902	0	30
2006.06.30	1.82780	1.85020	1.82620	1.84820	11166	0	30
2006.07.01	1.84820	1.85030	1.84770	1.84980	42	0	30
2006.07.03	1.84760	1.84910	1.83840	1.84200	9416	0	30
2006.07.04	1.84210	1.84820	1.84140	1.84580	9472	0	30
2006.07.05	1.84600	1.84890	1.83260	1.83450	10320	0	30
2006.07.06	1.83440	1.84110	1.83330	1.83720	10117	0	30
2006.07.07	1.83720	1.85420	1.83550	1.85100	9775	0	30
2006.07.08	1.85110	1.85120	1.84980	1.85090	114	0	30
2006.07.10	1.85020	1.85230	1.83670	1.84090	9551	0	30
2006.07.11	1.84090	1.84750	1.83660	1.84640	10367	0	30
2006.07.12	1.84630	1.84830	1.83090	1.83480	10195	0	30
2006.07.13	1.83480	1.84700	1.83300	1.84380	10407	0	30
2006.07.14	1.84380	1.84530	1.83390	1.83820	11356	0	30
2006.07.15	1.83840	1.83950	1.83760	1.83870	138	0	30
2006.07.17	1.83780	1.83900	1.81760	1.81860	9429	0	30
