<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.09.04	106.180	106.505	106.056	106.238	83406	0	0
2020.09.07	106.222	106.387	106.132	106.255	55799	0	0
2020.09.08	106.223	106.383	105.862	106.027	73196	0	0
2020.09.09	106.020	106.274	105.789	106.177	84671	0	0
2020.09.10	106.174	106.303	105.982	106.131	73184	0	0
2020.09.11	106.125	106.265	106.056	106.145	70040	0	0
2020.09.14	106.067	106.166	105.548	105.733	54741	0	0
2020.09.15	105.722	105.814	105.301	105.442	67949	0	0
2020.09.16	105.439	105.439	104.800	104.944	92373	0	0
2020.09.17	104.943	105.173	104.526	104.738	84095	0	0
2020.09.18	104.723	104.872	104.273	104.566	66909	0	0
2020.09.21	104.521	104.892	104.001	104.644	81320	0	0
2020.09.22	104.645	105.078	104.406	104.944	68437	0	0
2020.09.23	104.923	105.497	104.857	105.361	76042	0	0
2020.09.24	105.370	105.531	105.205	105.410	75894	0	0
2020.09.25	105.398	105.700	105.240	105.551	68416	0	0
2020.09.28	105.438	105.691	105.264	105.487	69121	0	0
2020.09.29	105.484	105.734	105.343	105.679	76784	0	0
2020.09.30	105.644	105.803	105.402	105.438	95984	0	0
2020.10.01	105.524	105.728	105.403	105.546	88483	0	0
2020.10.02	105.516	105.666	104.942	105.330	106334	0	0
2020.10.05	105.277	105.795	105.233	105.739	75154	0	0
2020.10.06	105.741	105.785	105.470	105.634	72882	0	0
2020.10.07	105.627	106.108	105.595	105.966	75476	0	0
2020.10.08	105.961	106.108	105.924	106.029	70011	0	0
2020.10.09	106.023	106.041	105.581	105.626	71455	0	0
2020.10.12	105.632	105.793	105.242	105.320	65410	0	0
2020.10.13	105.342	105.628	105.261	105.476	85051	0	0
2020.10.14	105.470	105.517	105.036	105.164	75688	0	0
2020.10.15	105.163	105.494	105.052	105.421	89206	0	0
2020.10.16	105.442	105.461	105.190	105.401	77042	0	0
2020.10.19	105.344	105.503	105.268	105.432	74623	0	0
2020.10.20	105.427	105.748	105.341	105.507	66232	0	0
2020.10.21	105.497	105.531	104.342	104.581	69906	0	0
2020.10.22	104.591	104.923	104.477	104.885	76770	0	0
2020.10.23	104.856	104.937	104.547	104.714	60508	0	0
2020.10.26	104.668	105.055	104.649	104.832	54684	0	0
2020.10.27	104.829	104.890	104.389	104.415	52505	0	0
2020.10.28	104.408	104.557	104.113	104.319	64895	0	0
2020.10.29	104.318	104.727	104.025	104.610	108658	0	0
2020.10.30	104.592	104.742	104.124	104.670	105636	0	0
2020.11.02	104.446	104.950	104.446	104.751	91844	0	0
2020.11.03	104.661	104.822	104.434	104.502	125367	0	0
2020.11.04	104.448	105.345	104.151	104.519	235217	0	0
2020.11.05	104.500	104.544	103.443	103.517	160607	0	0
2020.11.06	103.466	103.760	103.176	103.365	155880	0	0
2020.11.09	103.298	105.648	103.188	105.389	206969	0	0
2020.11.10	105.351	105.487	104.820	105.246	131308	0	0
2020.11.11	105.289	105.677	105.007	105.431	88467	0	0
2020.11.12	105.426	105.478	105.070	105.123	93858	0	0
2020.11.13	105.128	105.151	104.564	104.612	100960	0	0
2020.11.16	104.713	105.137	104.363	104.566	113046	0	0
2020.11.17	104.574	104.599	104.071	104.185	85144	0	0
2020.11.18	104.186	104.207	103.653	103.796	78838	0	0
2020.11.19	103.825	104.217	103.717	103.745	85088	0	0
2020.11.20	103.735	103.910	103.702	103.834	67772	0	0
2020.11.23	103.730	104.638	103.683	104.549	88940	0	0
2020.11.24	104.494	104.762	104.146	104.443	90244	0	0
2020.11.25	104.434	104.599	104.256	104.463	75465	0	0
2020.11.26	104.448	104.474	104.216	104.243	79530	0	0
2020.11.27	104.257	104.285	103.907	104.094	54222	0	0
2020.11.30	104.050	104.409	103.832	104.311	85082	0	0
2020.12.01	104.284	104.578	104.182	104.308	93128	0	0
2020.12.02	104.309	104.752	104.226	104.411	89859	0	0
2020.12.03	104.406	104.536	103.673	103.843	91037	0	0
2020.12.04	103.830	104.245	103.739	104.185	92237	0	0
2020.12.07	104.130	104.312	103.922	104.049	73236	0	0
2020.12.08	104.050	104.207	103.955	104.163	75129	0	0
2020.12.09	104.157	104.405	104.052	104.234	68658	0	0
2020.12.10	104.199	104.579	104.164	104.214	86358	0	0
2020.12.11	104.239	104.274	103.824	104.037	72141	0	0
2020.12.14	103.978	104.105	103.511	104.036	84314	0	0
2020.12.15	104.030	104.152	103.606	103.647	61551	0	0
2020.12.16	103.655	103.919	103.261	103.420	85109	0	0
2020.12.17	103.456	103.561	102.873	103.079	82806	0	0
2020.12.18	103.081	103.596	103.074	103.311	80054	0	0
2020.12.21	103.488	103.892	103.252	103.287	121031	0	0
2020.12.22	103.318	103.734	103.280	103.612	76705	0	0
2020.12.23	103.625	103.652	103.355	103.540	80344	0	0
2020.12.24	103.559	103.767	103.501	103.641	76709	0	0
2020.12.28	103.498	103.898	103.404	103.779	76602	0	0
2020.12.29	103.803	103.822	103.463	103.532	66345	0	0
2020.12.30	103.569	103.588	102.961	103.210	79818	0	0
2020.12.31	103.166	103.316	102.995	103.302	65385	0	0
2021.01.04	103.095	103.316	102.712	103.135	113132	0	0
2021.01.05	103.120	103.191	102.605	102.717	95085	0	0
2021.01.06	102.716	103.444	102.592	103.058	184553	0	0
2021.01.07	103.024	103.958	102.950	103.825	127926	0	0
2021.01.08	103.776	104.093	103.604	103.964	138068	0	0
2021.01.11	103.870	104.398	103.840	104.241	99018	0	0
2021.01.12	104.258	104.333	103.720	103.750	97812	0	0
2021.01.13	103.752	103.997	103.525	103.878	91209	0	0
2021.01.14	103.861	104.199	103.565	103.797	119163	0	0
2021.01.15	103.800	103.913	103.616	103.867	79453	0	0
2021.01.18	103.809	103.930	103.637	103.690	90258	0	0
2021.01.19	103.683	104.086	103.652	103.904	97163	0	0
2021.01.20	103.900	103.929	103.447	103.536	85335	0	0
2021.01.21	103.532	103.668	103.327	103.492	98525	0	0
2021.01.22	103.496	103.887	103.467	103.768	71465	0	0
2021.01.25	103.725	103.937	103.673	103.760	71313	0	0
2021.01.26	103.718	103.829	103.557	103.620	62875	0	0
2021.01.27	103.610	104.200	103.586	104.110	77317	0	0
2021.01.28	104.096	104.464	104.053	104.260	75510	0	0
2021.01.29	104.209	104.940	104.196	104.726	90169	0	0
2021.02.01	104.768	105.035	104.609	104.938	60164	0	0
2021.02.02	104.914	105.173	104.829	104.976	67476	0	0
2021.02.03	104.970	105.105	104.922	105.027	53980	0	0
2021.02.04	105.025	105.565	104.975	105.561	62680	0	0
2021.02.05	105.507	105.768	105.335	105.384	73474	0	0
2021.02.08	105.303	105.672	105.150	105.231	71755	0	0
2021.02.09	105.226	105.262	104.497	104.557	99922	0	0
2021.02.10	104.588	104.842	104.409	104.595	78935	0	0
2021.02.11	104.578	104.805	104.550	104.740	58512	0	0
2021.02.12	104.729	105.182	104.690	104.925	65332	0	0
2021.02.15	104.888	105.418	104.888	105.360	55087	0	0
2021.02.16	105.358	106.077	105.182	106.048	75158	0	0
2021.02.17	106.031	106.225	105.779	105.862	81620	0	0
2021.02.18	105.861	105.924	105.598	105.662	62484	0	0
2021.02.19	105.691	105.743	105.241	105.420	70072	0	0
2021.02.22	105.379	105.845	104.982	105.075	77025	0	0
2021.02.23	105.041	105.429	104.921	105.251	75983	0	0
2021.02.24	105.236	106.105	105.186	105.842	91985	0	0
2021.02.25	105.869	106.403	105.771	106.247	129822	0	0
2021.02.26	106.162	106.692	105.848	106.546	143635	0	0
2021.03.01	106.503	106.889	106.366	106.766	80595	0	0
2021.03.02	106.758	106.957	106.676	106.689	73332	0	0
2021.03.03	106.677	107.153	106.660	107.019	80774	0	0
2021.03.04	106.971	107.985	106.961	107.973	90085	0	0
2021.03.05	107.953	108.644	107.819	108.384	118851	0	0
2021.03.08	108.310	108.943	108.247	108.915	82249	0	0
2021.03.09	108.861	109.234	108.415	108.490	95193	0	0
2021.03.10	108.478	108.921	108.339	108.395	93556	0	0
2021.03.11	108.368	108.811	108.351	108.506	97015	0	0
2021.03.12	108.487	109.166	108.485	109.025	92762	0	0
2021.03.15	109.017	109.365	108.914	109.121	80712	0	0
2021.03.16	109.115	109.287	108.773	109.001	78795	0	0
2021.03.17	108.989	109.326	108.745	108.843	81725	0	0
2021.03.18	108.826	109.303	108.625	108.890	100832	0	0
2021.03.19	108.879	109.128	108.608	108.877	88276	0	0
2021.03.22	108.600	108.957	108.577	108.847	44032	0	0
2021.03.23	108.839	108.873	108.407	108.578	53050	0	0
2021.03.24	108.580	108.956	108.451	108.721	45829	0	0
2021.03.25	108.727	109.238	108.705	109.188	54302	0	0
2021.03.26	109.178	109.848	109.131	109.676	48104	0	0
2021.03.29	109.716	109.845	109.373	109.832	46621	0	0
2021.03.30	109.761	110.427	109.726	110.350	46043	0	0
2021.03.31	110.348	110.966	110.275	110.716	57147	0	0
2021.04.01	110.695	110.847	110.570	110.605	42185	0	0
2021.04.02	110.585	110.748	110.376	110.595	31694	0	0
2021.04.05	110.603	110.750	109.962	110.177	42816	0	0
2021.04.06	110.169	110.552	109.669	109.737	46641	0	0
